#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
1.116666666666666714e+02 3.252729340835131136e-22 1.711170667989795635e-16 9.999989090605432285e-01 9.742346035093830681e-01
1.125000000000000000e+02 5.496088078977418094e-23 2.938773300508904078e-17 9.999989502489707860e-01 9.744156221545265950e-01
1.133333333333333286e+02 1.013101637169743480e-22 5.505398405312470219e-17 9.999989671768667598e-01 9.744918473004342552e-01
1.141666666666666714e+02 4.989835585042886070e-23 2.755512364920366242e-17 9.999989835563696250e-01 9.745664123891596420e-01
1.150000000000000000e+02 2.866468404149466247e-23 1.608427350924724615e-17 9.999989920666276788e-01 9.746058001198482090e-01
1.158333333333333286e+02 6.536907714368556653e-23 3.726690028451890339e-17 9.999990022527353029e-01 9.746539512729720522e-01
1.166666666666666572e+02 1.712550815760520729e-22 9.918595000404475363e-17 9.999990278847958880e-01 9.747770935450897900e-01
1.175000000000000000e+02 8.724078008525100603e-23 5.132651956573902178e-17 9.999990558860848422e-01 9.749129059207973791e-01
1.183333333333333286e+02 4.434191548598417964e-23 2.649798048571703524e-17 9.999990701396397341e-01 9.749831221193622222e-01
1.191666666666666714e+02 1.367851688603182181e-23 8.301842540003546392e-18 9.999990764246411423e-01 9.750145181958322915e-01
1.200000000000000000e+02 1.082045641973122254e-22 6.669295295075471783e-17 9.999990896274955077e-01 9.750821743657182017e-01
1.208333333333333428e+02 5.510948014584822780e-23 3.449228066390933446e-17 9.999991073183145396e-01 9.751734506659514023e-01
1.216666666666666714e+02 2.602733840202943153e-22 1.654053420052945635e-16 9.999991414818245605e-01 9.753537474778558591e-01
1.225000000000000000e+02 7.713990803911308063e-23 4.977217283258109793e-17 9.999991780317558643e-01 9.755477886839403201e-01
1.233333333333333286e+02 3.726236925662320366e-23 2.440786386579489983e-17 9.999991904242587770e-01 9.756146732695117896e-01
1.241666666666666714e+02 2.295328903863169113e-23 1.526232632399871275e-17 9.999991969470549691e-01 9.756504400979389979e-01
1.250000000000000000e+02 1.523736202154329159e-23 1.028412464629381443e-17 9.999992010840159651e-01 9.756734722031937812e-01
1.258333333333333286e+02 5.578407225152651670e-23 3.821336437464154345e-17 9.999992087773359462e-01 9.757171949520700993e-01
1.266666666666666572e+02 4.439327200072662095e-23 3.086285115051631559e-17 9.999992196289381186e-01 9.757794670004704685e-01
1.274999999999999858e+02 3.571544454356277569e-23 2.519739318449459154e-17 9.999992283066279075e-01 9.758300022597541368e-01
1.283333333333333428e+02 1.439547502848580272e-23 1.030560679694753554e-17 9.999992337348387883e-01 9.758620049285821052e-01
1.291666666666666856e+02 1.159338343521336652e-22 8.421193326171966638e-17 9.999992478526197326e-01 9.759471986279766309e-01
1.300000000000000284e+02 2.780890043707045919e-22 2.049422383627933680e-16 9.999992905347143690e-01 9.762077825388165708e-01
1.308333333333333428e+02 5.996066907825043614e-23 4.482983955949037366e-17 9.999993271535754236e-01 9.764328195753221307e-01
1.316666666666666856e+02 3.019072715988297236e-23 2.289795285903620693e-17 9.999993369191265691e-01 9.764938313161295458e-01
1.325000000000000284e+02 5.871702541110333304e-23 4.517303608903549409e-17 9.999993465499613654e-01 9.765551483804474353e-01
