#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000761523046e+04   2.181480169136e+14   3.495116525728e-02  
 2.000765531062e+04   2.181474761632e+14   3.495107861952e-02  
 2.000769539078e+04   2.181469354140e+14   3.495099198194e-02  
 2.000773547094e+04   2.181463946659e+14   3.495090534455e-02  
 2.000777555110e+04   2.181458539191e+14   3.495081870737e-02  
 2.000781563126e+04   2.181453131735e+14   3.495073207037e-02  
 2.000785571142e+04   2.181447724291e+14   3.495064543357e-02  
 2.000789579158e+04   2.181442316859e+14   3.495055879696e-02  
 2.000793587174e+04   2.181436909439e+14   3.495047216053e-02  
 2.000797595190e+04   2.181431502031e+14   3.495038552431e-02  
 2.000801603206e+04   2.181426094635e+14   3.495029888827e-02  
 2.000805611222e+04   2.181420687251e+14   3.495021225243e-02  
 2.000809619238e+04   2.181415279879e+14   3.495012561678e-02  
 2.000813627255e+04   2.181409872519e+14   3.495003898132e-02  
 2.000817635271e+04   2.181404465171e+14   3.494995234606e-02  
 2.000821643287e+04   2.181399057835e+14   3.494986571099e-02  
 2.000825651303e+04   2.181393650511e+14   3.494977907611e-02  
 2.000829659319e+04   2.181388243200e+14   3.494969244142e-02  
 2.000833667335e+04   2.181382835899e+14   3.494960580692e-02  
 2.000837675351e+04   2.181377428612e+14   3.494951917262e-02  
 2.000841683367e+04   2.181372021336e+14   3.494943253851e-02  
 2.000845691383e+04   2.181366614072e+14   3.494934590460e-02  
 2.000849699399e+04   2.181361206820e+14   3.494925927087e-02  
 2.000853707415e+04   2.181355799580e+14   3.494917263733e-02  
 2.000857715431e+04   2.181350392353e+14   3.494908600400e-02  
 2.000861723447e+04   2.181344985137e+14   3.494899937086e-02  
 2.000865731463e+04   2.181339577933e+14   3.494891273789e-02  
 2.000869739479e+04   2.181334170741e+14   3.494882610514e-02  
 2.000873747495e+04   2.181328763562e+14   3.494873947257e-02  
 2.000877755511e+04   2.181323356394e+14   3.494865284019e-02  
 2.000881763527e+04   2.181317949238e+14   3.494856620801e-02  
 2.000885771543e+04   2.181312542095e+14   3.494847957602e-02  
